Epoch, Accuracy, Overall Loss, RMSE, Maximal Error, Min distance Branch Points, C0-norm, Eigenvalue, Time (s)
0, 4311.05810546875, 208666.671875 +/- 745242.625, 185.3172607421875 +/- 254.01637268066406, 1524.9969482421875 +/- 2460.22412109375, 1.0471973419189453 +/- 0.0, 26.011608123779297 +/- 37.779396057128906, 8.764732360839844 +/- 0.23962470889091492, 363.4773852825165
1, 1104.1385498046875, 2261.8681640625 +/- 886.86279296875, 43.021484375 +/- 6.408332347869873, 220.54132080078125 +/- 52.48622131347656, 1.0471973419189453 +/- 0.0, 4.896875858306885 +/- 0.9497150182723999, 9.407889366149902 +/- 0.13477890193462372, 1.7156949043273926
2, 493.6390686035156, 753.2035522460938 +/- 174.83201599121094, 27.333667755126953 +/- 3.3042807579040527, 125.5605239868164 +/- 15.152767181396484, 1.0471973419189453 +/- 0.0, 2.8445615768432617 +/- 0.34083038568496704, 9.795940399169922 +/- 0.09266020357608795, 1.6980016231536865
3, 273.3984069824219, 371.1387634277344 +/- 64.05497741699219, 18.70854949951172 +/- 1.9277862310409546, 89.2236328125 +/- 8.937220573425293, 1.0471973419189453 +/- 0.0, 1.9406578540802002 +/- 0.19577226042747498, 10.052964210510254 +/- 0.06017212197184563, 1.6983215808868408
4, 179.29638671875, 222.24929809570312 +/- 27.649761199951172, 13.502610206604004 +/- 1.273443341255188, 67.19313049316406 +/- 6.211331367492676, 1.0471973419189453 +/- 0.0, 1.3999590873718262 +/- 0.12139791250228882, 10.238439559936523 +/- 0.04614518582820892, 1.69895601272583
5, 132.2784423828125, 154.69839477539062 +/- 15.07553768157959, 9.844118118286133 +/- 0.9862940907478333, 52.624427795410156 +/- 4.964267253875732, 1.0471973419189453 +/- 0.0, 1.078134536743164 +/- 0.06547459959983826, 10.374346733093262 +/- 0.03254897892475128, 1.6988658905029297
6, 106.82151794433594, 118.10685729980469 +/- 9.383591651916504, 7.17122745513916 +/- 0.6835235953330994, 42.930938720703125 +/- 3.785700559616089, 1.0471973419189453 +/- 0.0, 0.9147759079933167 +/- 0.03467457368969917, 10.468393325805664 +/- 0.021086085587739944, 1.699411153793335
7, 94.12506866455078, 98.5340576171875 +/- 5.660950660705566, 5.635410308837891 +/- 0.36970463395118713, 36.11946105957031 +/- 3.212765693664551, 1.0471973419189453 +/- 0.0, 0.8166078329086304 +/- 0.025577150285243988, 10.527250289916992 +/- 0.014574680477380753, 1.701486349105835
8, 87.9240493774414, 89.65191650390625 +/- 3.912510395050049, 4.912310600280762 +/- 0.2471947818994522, 31.331233978271484 +/- 2.6339223384857178, 1.0471973419189453 +/- 0.0, 0.7448306083679199 +/- 0.020440571010112762, 10.578609466552734 +/- 0.015055905096232891, 1.700514316558838
9, 84.9007568359375, 85.30044555664062 +/- 3.368062734603882, 4.549761772155762 +/- 0.20001882314682007, 28.15909194946289 +/- 2.216994524002075, 1.0471973419189453 +/- 0.0, 0.7004991769790649 +/- 0.012610859237611294, 10.631040573120117 +/- 0.01448738295584917, 1.7023322582244873
