Epoch, Accuracy, Overall Loss, RMSE, Maximal Error, Min distance Branch Points, C0-norm, Eigenvalue, Time (s)
0, 52769.06640625, 1072646.375 +/- 4384373.5, 389.73236083984375 +/- 280.9516296386719, 3007.884033203125 +/- 2117.899169921875, 0.9991528987884521 +/- 0.032734986394643784, 55.33266830444336 +/- 87.78016662597656, 5.898159980773926 +/- 0.3584502935409546, 16.85299324989319
1, 23484.4453125, 36046.953125 +/- 8262.2705078125, 193.12020874023438 +/- 24.722370147705078, 1501.996337890625 +/- 195.0417022705078, 0.9510295391082764 +/- 0.003844757564365864, 18.927345275878906 +/- 2.174908399581909, 6.753657817840576 +/- 0.17546290159225464, 1.0313351154327393
2, 11834.037109375, 16923.33203125 +/- 3415.016845703125, 132.3668212890625 +/- 15.039220809936523, 1026.6214599609375 +/- 128.55320739746094, 0.9446395635604858 +/- 0.0005550112691707909, 12.99941635131836 +/- 1.3138951063156128, 7.2660956382751465 +/- 0.1237114891409874, 1.0151710510253906
3, 6058.9677734375, 8363.3984375 +/- 1681.7435302734375, 93.1976547241211 +/- 10.109635353088379, 714.6072387695312 +/- 93.85115814208984, 0.9497005939483643 +/- 0.0029331750702112913, 9.142720222473145 +/- 0.9200876355171204, 7.640079498291016 +/- 0.09303054958581924, 1.0130615234375
4, 2871.776611328125, 4129.71484375 +/- 855.4745483398438, 65.66529846191406 +/- 7.538957118988037, 497.5287170410156 +/- 62.572731018066406, 0.9635647535324097 +/- 0.0048813894391059875, 6.4117021560668945 +/- 0.6724967360496521, 7.921084403991699 +/- 0.07021773606538773, 1.0158021450042725
5, 1379.850341796875, 1990.3626708984375 +/- 423.7666931152344, 45.76802444458008 +/- 5.3341264724731445, 337.6331787109375 +/- 43.53961944580078, 0.9816570281982422 +/- 0.005753001198172569, 4.4200849533081055 +/- 0.48829010128974915, 8.133390426635742 +/- 0.05238842964172363, 1.01423978805542
6, 661.69677734375, 944.0692138671875 +/- 198.723388671875, 31.587799072265625 +/- 3.6317880153656006, 225.37164306640625 +/- 28.71610450744629, 1.0029547214508057 +/- 0.006494150962680578, 2.9736876487731934 +/- 0.3454767167568207, 8.291204452514648 +/- 0.0399029515683651, 1.0165209770202637
7, 347.9750061035156, 471.5261535644531 +/- 87.68820190429688, 21.795129776000977 +/- 2.4790444374084473, 148.62937927246094 +/- 17.902206420898438, 1.0266027450561523 +/- 0.007039145100861788, 1.9916296005249023 +/- 0.23347441852092743, 8.417383193969727 +/- 0.033379919826984406, 1.0135493278503418
8, 221.78196716308594, 271.5757751464844 +/- 36.0181770324707, 15.476325988769531 +/- 1.5772813558578491, 101.29569244384766 +/- 10.936254501342773, 1.051156997680664 +/- 0.00711496826261282, 1.3547170162200928 +/- 0.13949371874332428, 8.525625228881836 +/- 0.02924659103155136, 1.0163195133209229
9, 153.60360717773438, 183.6812744140625 +/- 19.62233543395996, 11.188485145568848 +/- 1.1958544254302979, 70.38886260986328 +/- 7.566890716552734, 1.075742483139038 +/- 0.007005964871495962, 1.068387508392334 +/- 0.033214371651411057, 8.622692108154297 +/- 0.02718186564743519, 1.0144495964050293
