Epoch, Accuracy, Overall Loss, RMSE, Maximal Error, Min distance Branch Points, C0-norm, Eigenvalue, Time (s)
0, 2559.43359375, 39711.12109375 +/- 101920.0703125, 59.290130615234375 +/- 50.785919189453125, 305.5115661621094 +/- 235.06378173828125, 1.230959415435791 +/- 0.0, 14.741009712219238 +/- 14.11373519897461, 5.710426330566406 +/- 0.21026839315891266, 207.96346712112427
1, 766.1079711914062, 1445.426025390625 +/- 502.8073425292969, 18.495271682739258 +/- 2.841317653656006, 106.38330078125 +/- 16.192474365234375, 1.230959415435791 +/- 0.0, 4.3123674392700195 +/- 0.6723086833953857, 5.856207847595215 +/- 0.013074648566544056, 1.0252113342285156
2, 326.4105529785156, 507.1768798828125 +/- 125.17497253417969, 11.7826566696167 +/- 1.3165684938430786, 70.42186737060547 +/- 8.120406150817871, 1.230959415435791 +/- 0.0, 2.7274160385131836 +/- 0.2995954155921936, 5.778059005737305 +/- 0.0310883279889822, 1.0134022235870361
3, 173.08460998535156, 236.069091796875 +/- 44.387367248535156, 8.397001266479492 +/- 0.7770035862922668, 51.273887634277344 +/- 5.539717674255371, 1.230959415435791 +/- 0.0, 1.9304779767990112 +/- 0.17163102328777313, 5.650262832641602 +/- 0.04213890805840492, 1.0128328800201416
4, 112.89965057373047, 136.70794677734375 +/- 17.3804874420166, 6.394296646118164 +/- 0.4584854543209076, 40.030738830566406 +/- 3.6745378971099854, 1.230959415435791 +/- 0.0, 1.4537456035614014 +/- 0.10794966667890549, 5.490196228027344 +/- 0.048948392271995544, 1.0127179622650146
5, 88.79310607910156, 97.55078125 +/- 7.461596488952637, 5.1503496170043945 +/- 0.31997841596603394, 32.668617248535156 +/- 2.585441827774048, 1.230959415435791 +/- 0.0, 1.1509227752685547 +/- 0.06913328170776367, 5.311481475830078 +/- 0.053859248757362366, 1.0120244026184082
6, 76.66999053955078, 81.2659912109375 +/- 4.226065635681152, 4.351219654083252 +/- 0.23061978816986084, 27.45514678955078 +/- 2.183201789855957, 1.230959415435791 +/- 0.0, 0.9877152442932129 +/- 0.021162234246730804, 5.119383811950684 +/- 0.05687675252556801, 1.013209342956543
7, 65.47545623779297, 69.85025024414062 +/- 3.793287754058838, 3.737966537475586 +/- 0.1844266802072525, 22.49661636352539 +/- 2.1641740798950195, 1.230959415435791 +/- 0.0, 0.9628630876541138 +/- 0.006292215082794428, 4.916048526763916 +/- 0.06063060835003853, 1.0112006664276123
8, 55.19102478027344, 59.427207946777344 +/- 3.252164125442505, 3.2209246158599854 +/- 0.14932891726493835, 17.603248596191406 +/- 1.8594067096710205, 1.230959415435791 +/- 0.0, 0.9538099765777588 +/- 0.005388583056628704, 4.6992292404174805 +/- 0.06476425379514694, 1.0131099224090576
9, 46.43436050415039, 50.16912841796875 +/- 2.560830593109131, 2.8260064125061035 +/- 0.10242322087287903, 12.660301208496094 +/- 1.5584371089935303, 1.230959415435791 +/- 0.0, 0.9444255828857422 +/- 0.0044381762854754925, 4.468971252441406 +/- 0.06787729263305664, 1.0119447708129883
